PWM;VTotal;VDiodo;CDiodo
160;2.82;0.31;7.96
165;3.05;0.32;8.69
170;3.16;0.31;9.03
175;3.42;0.32;9.84
180;3.60;0.33;10.38
185;3.64;0.32;10.55
190;3.85;0.33;11.19
195;3.97;0.33;11.56
200;4.05;0.33;11.81
205;4.15;0.33;12.12
210;4.19;0.33;12.27
215;4.30;0.33;12.58
220;4.37;0.33;12.82
225;4.38;0.33;12.86
230;4.49;0.34;13.17
235;4.55;0.34;13.36
240;4.59;0.34;13.50
245;4.64;0.34;13.67
250;4.69;0.34;13.81
255;4.73;0.34;13.95
0;2.12;0.29;5.80
5;0.60;0.23;1.16
10;0.18;0.14;0.11
15;0.11;0.11;-0.02
20;0.12;0.11;0.03
25;0.15;0.13;0.08
30;0.18;0.11;0.22
35;0.22;0.16;0.20
40;0.26;0.18;0.26
45;0.29;0.18;0.34
50;0.41;0.20;0.65
55;0.39;0.20;0.59
60;0.42;0.21;0.67
65;0.51;0.22;0.90
70;0.54;0.22;0.99
75;0.58;0.22;1.13
80;0.67;0.24;1.38
85;0.72;0.24;1.54
90;0.78;0.24;1.71
95;0.87;0.25;1.97
100;1.01;0.26;2.39
105;1.02;0.26;2.41
110;1.15;0.27;2.79
115;1.30;0.28;3.23
120;1.33;0.27;3.38
125;1.51;0.28;3.89
130;1.69;0.29;4.42
135;1.75;0.28;4.69
140;1.99;0.29;5.38
145;2.21;0.31;6.04
150;2.31;0.29;6.39
155;2.60;0.31;7.26
160;2.84;0.35;7.93
165;2.95;0.28;8.47
170;3.24;0.32;9.26
175;3.44;0.35;9.81
180;3.50;0.32;10.10
185;3.73;0.33;10.80
190;3.87;0.33;11.23
195;3.95;0.33;11.50
200;4.07;0.33;11.85
205;4.11;0.33;11.99
210;4.22;0.33;12.35
215;4.31;0.33;12.61
220;4.32;0.33;12.65
225;4.43;0.33;13.00
230;4.49;0.33;13.20
235;4.54;0.33;13.36
240;4.59;0.34;13.51
245;4.64;0.34;13.67
250;4.69;0.34;13.81
255;4.73;0.34;13.95
0;2.13;0.29;5.83
5;0.57;0.22;1.10
10;0.23;0.14;0.28
15;0.11;0.10;0.03
20;0.12;0.11;0.03
25;0.11;0.14;-0.09
30;0.19;0.15;0.12
35;0.22;0.16;0.17
40;0.25;0.16;0.28
45;0.31;0.19;0.39
50;0.34;0.20;0.45
55;0.38;0.20;0.56
60;0.46;0.22;0.78
65;0.48;0.22;0.84
70;0.52;0.22;0.96
75;0.63;0.24;1.23
80;0.65;0.23;1.33
85;0.70;0.24;1.47
90;0.81;0.25;1.77
95;0.87;0.25;1.99
100;0.93;0.25;2.16
105;1.06;0.26;2.51
110;1.15;0.26;2.82
115;1.21;0.26;3.01
120;1.38;0.28;3.51
125;1.56;0.28;4.07
130;1.59;0.28;4.17
135;1.82;0.29;4.84
140;2.03;0.29;5.51
145;2.10;0.29;5.74
150;2.39;0.31;6.61
155;2.63;0.31;7.37
160;2.73;0.29;7.74
165;3.04;0.32;8.64
170;3.26;0.32;9.33
175;3.34;0.32;9.57
180;3.59;0.33;10.35
185;3.73;0.33;10.81
190;3.84;0.33;11.14
