PWM;VTotal;VDiodo;CDiodo
15;0.11;0.05;0.17
20;0.12;0.05;0.20
25;0.15;0.06;0.28
30;0.17;0.06;0.34
35;0.22;0.08;0.45
40;0.25;0.08;0.53
45;0.28;0.05;0.74
50;0.36;0.10;0.82
55;0.38;0.10;0.87
60;0.42;0.11;0.98
65;0.50;0.16;1.09
70;0.53;0.12;1.30
75;0.57;0.12;1.43
80;0.67;0.13;1.71
85;0.71;0.13;1.85
90;0.76;0.14;1.99
95;0.87;0.15;2.31
100;0.95;0.15;2.54
105;1.00;0.15;2.72
110;1.14;0.16;3.12
115;1.25;0.16;3.44
120;1.31;0.16;3.65
125;1.50;0.17;4.20
130;1.63;0.18;4.62
135;1.73;0.18;4.93
140;1.97;0.19;5.68
145;2.19;0.19;6.36
150;2.28;0.16;6.73
155;2.58;0.20;7.56
160;2.82;0.21;8.30
165;2.92;0.20;8.63
170;3.22;0.22;9.54
175;3.42;0.22;10.18
180;3.54;0.22;10.55
185;3.72;0.22;11.11
190;3.79;0.22;11.36
195;3.94;0.22;11.81
200;4.06;0.22;12.16
205;4.08;0.21;12.30
210;4.22;0.22;12.68
215;4.30;0.22;12.92
220;4.35;0.22;13.08
225;4.42;0.23;13.31
230;4.49;0.23;13.51
235;4.54;0.23;13.67
240;4.59;0.23;13.84
245;4.64;0.22;14.01
250;4.68;0.23;14.14
255;4.73;0.23;14.27
0;2.11;0.19;6.11
5;0.56;0.12;1.38
10;0.17;0.07;0.33
15;0.11;0.05;0.19
20;0.12;0.05;0.20
25;0.16;0.07;0.26
30;0.18;0.07;0.36
35;0.21;0.08;0.42
40;0.21;0.08;0.39
45;0.30;0.09;0.67
50;0.33;0.10;0.73
55;0.37;0.08;0.90
60;0.45;0.11;1.07
65;0.47;0.11;1.15
70;0.51;0.12;1.26
75;0.62;0.17;1.41
80;0.64;0.13;1.63
85;0.69;0.13;1.77
90;0.81;0.14;2.11
95;0.86;0.14;2.27
100;0.91;0.14;2.45
105;1.05;0.16;2.84
110;1.12;0.15;3.07
115;1.19;0.16;3.29
120;1.38;0.17;3.85
125;1.47;0.17;4.13
130;1.57;0.13;4.58
135;1.80;0.18;5.15
140;1.93;0.18;5.55
145;2.07;0.18;6.00
150;2.37;0.20;6.90
155;2.54;0.19;7.46
160;2.70;0.20;7.94
165;3.02;0.21;8.94
170;3.18;0.21;9.45
175;3.38;0.22;10.04
180;3.57;0.22;10.66
185;3.66;0.22;10.92
190;3.83;0.22;11.47
195;3.96;0.22;11.87
200;3.98;0.21;11.99
205;4.14;0.22;12.43
210;4.23;0.22;12.71
215;4.28;0.22;12.88
220;4.36;0.22;13.14
225;4.43;0.23;13.33
230;4.48;0.22;13.50
235;4.54;0.23;13.67
240;4.56;0.22;13.76
245;4.63;0.23;13.98
250;4.68;0.23;14.14
255;4.73;0.23;14.27
0;2.12;0.18;6.14
5;0.60;0.12;1.51
10;0.18;0.06;0.36
15;0.11;0.05;0.19
20;0.13;0.05;0.23
25;0.15;0.06;0.28
30;0.18;0.07;0.34
35;0.23;0.09;0.47
40;0.25;0.08;0.54
45;0.29;0.09;0.64
50;0.34;0.10;0.76
55;0.38;0.10;0.88
60;0.42;0.11;0.99
65;0.43;0.11;1.02
70;0.54;0.12;1.35
75;0.58;0.12;1.44
80;0.63;0.12;1.61
85;0.75;0.15;1.91
90;0.77;0.13;2.03
95;0.83;0.10;2.31
100;0.97;0.15;2.61
105;1.02;0.15;2.76
110;1.09;0.13;3.04
115;1.26;0.16;3.49
120;1.33;0.16;3.71
125;1.41;0.16;3.97
130;1.65;0.18;4.69
135;1.75;0.17;5.01
140;1.93;0.18;5.55
145;2.17;0.19;6.28
150;2.30;0.19;6.72
155;2.56;0.20;7.49
160;2.81;0.21;8.27
165;2.94;0.20;8.70
170;3.21;0.21;9.51
175;3.41;0.22;10.15
180;3.49;0.21;10.43
185;3.71;0.22;11.08
190;3.85;0.22;11.53
195;3.88;0.22;11.62
200;4.05;0.22;12.16
205;4.14;0.23;12.43
210;4.21;0.22;12.65
215;4.29;0.22;12.91
220;4.36;0.22;13.13
225;4.42;0.22;13.31
230;4.49;0.23;13.51
235;4.50;0.22;13.58
240;4.59;0.23;13.84
245;4.64;0.23;14.00
250;4.68;0.23;14.14
255;4.73;0.23;14.27
0;2.12;0.18;6.14
5;0.57;0.12;1.43
10;0.17;0.02;0.47
15;0.11;0.05;0.19
20;0.12;0.05;0.22
25;0.14;0.06;0.26
30;0.19;0.07;0.39
35;0.22;0.08;0.43
40;0.24;0.08;0.53
45;0.31;0.11;0.65
50;0.34;0.09;0.78
55;0.37;0.10;0.87
60;0.44;0.11;1.04
65;0.48;0.11;1.16
70;0.52;0.12;1.27
75;0.58;0.12;1.46
80;0.66;0.13;1.71
85;0.70;0.13;1.82
90;0.72;0.14;1.86
95;0.89;0.15;2.36
100;0.92;0.14;2.48
105;0.98;0.15;2.64
110;1.16;0.16;3.18
115;1.21;0.16;3.35
120;1.33;0.17;3.71
125;1.52;0.17;4.27
130;1.59;0.17;4.52
135;1.78;0.18;5.09
140;1.99;0.19;5.73
145;2.09;0.18;6.07
150;2.35;0.20;6.84
155;2.60;0.20;7.60
160;2.72;0.20;8.02
165;3.01;0.21;8.89
170;3.23;0.21;9.59
175;3.33;0.21;9.91
180;3.56;0.22;10.63
185;3.72;0.22;11.13
190;3.76;0.21;11.26
195;3.95;0.22;11.84
200;4.06;0.24;12.13
205;4.13;0.22;12.40
210;4.22;0.22;12.69
215;4.29;0.22;12.91
220;4.36;0.22;13.13
225;4.43;0.22;13.34
230;4.44;0.22;13.37
235;4.54;0.22;13.69
240;4.59;0.23;13.84
245;4.63;0.23;13.98
250;4.68;0.23;14.14
255;4.73;0.23;14.27
0;2.12;0.18;6.14
5;0.54;0.12;1.32
10;0.16;0.06;0.31
15;0.11;0.04;0.20
20;0.12;0.01;0.34
